timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1605619660946,58,Get Cover Photos By ID,200,OK,Stress Test 3-9,text,true,,356,219,6,11,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos/1,58,0,0
1605619660948,65,Get Book of specific ID,200,OK,Endruance Test 2-10,text,true,,741,213,5,11,https://webapp-api-appservice.azurewebsites.net/api/Books/5,65,0,0
1605619660960,55,Add CoverPhoto,200,OK,Endruance Test 2-1,text,true,,321,317,5,11,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos,55,0,0
1605619660964,54,Add New Book,200,OK,Endruance Test 2-4,text,true,,382,380,5,11,https://webapp-api-appservice.azurewebsites.net/api/Books,54,0,0
1605619660979,49,Get Cover Photos By ID,200,OK,Stress Test 3-6,text,true,,356,219,6,11,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos/2,49,0,0
1605619660982,56,Get Book of specific ID,200,OK,Stress Test 3-7,text,true,,741,213,6,11,https://webapp-api-appservice.azurewebsites.net/api/Books/2,56,0,0
1605619660891,151,Get Cover Photos,200,OK,Stress Test 3-5,text,true,,20739,217,6,11,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos,53,0,0
1605619660995,54,Add Users,200,OK,Endruance Test 2-8,text,true,,305,294,5,11,https://webapp-api-appservice.azurewebsites.net/api/Users,54,0,0
1605619660994,55,Get Book of specific ID,200,OK,Stress Test 3-10,text,true,,741,213,6,11,https://webapp-api-appservice.azurewebsites.net/api/Books/5,55,0,0
1605619661001,50,Get Cover Photos By ID,200,OK,Stress Test 3-4,text,true,,356,219,6,10,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos/4,50,0,0
1605619661004,53,Add Users from CSV,200,OK,Stress Test 3-9,text,true,,305,294,6,10,https://webapp-api-appservice.azurewebsites.net/api/Users,53,0,0
1605619661013,51,Get Cover Photos By ID,200,OK,Endruance Test 2-10,text,true,,356,219,4,10,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos/2,51,0,0
1605619661016,60,Get Book of specific ID,200,OK,Endruance Test 2-1,text,true,,741,213,4,10,https://webapp-api-appservice.azurewebsites.net/api/Books/1,60,0,0
1605619661019,63,Get Cover Photos,200,OK,Endruance Test 2-4,text,true,,20739,217,4,10,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos,62,0,0
1605619661028,55,Add Users from CSV,200,OK,Stress Test 3-6,text,true,,305,294,6,10,https://webapp-api-appservice.azurewebsites.net/api/Users,55,0,0
1605619661039,53,Get Cover Photos By ID,200,OK,Stress Test 3-7,text,true,,356,219,6,10,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos/3,53,0,0
1605619661043,54,Add CoverPhoto,200,OK,Stress Test 3-5,text,true,,321,317,6,10,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos,54,0,0
1605619661051,53,Add Users from CSV,200,OK,Stress Test 3-4,text,true,,305,294,6,10,https://webapp-api-appservice.azurewebsites.net/api/Users,52,0,0
1605619661049,55,Get Cover Photos By ID,200,OK,Stress Test 3-10,text,true,,356,219,6,10,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos/2,55,0,0
1605619661058,56,Get Books CSV,200,OK,Stress Test 3-9,text,true,,741,213,6,10,https://webapp-api-appservice.azurewebsites.net/api/Books/9,56,0,0
1605619661064,68,Add Users,200,OK,Endruance Test 2-10,text,true,,305,294,4,9,https://webapp-api-appservice.azurewebsites.net/api/Users,68,0,0
1605619661077,55,Get Cover Photos By ID,200,OK,Endruance Test 2-1,text,true,,356,219,4,9,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos/1,55,0,0
1605619661082,56,Add CoverPhoto,200,OK,Endruance Test 2-4,text,true,,321,317,3,8,https://webapp-api-appservice.azurewebsites.net/api/CoverPhotos,56,0,0
1605619661083,63,Get Books CSV,200,OK,Stress Test 3-6,text,true,,741,213,5,8,https://webapp-api-appservice.azurewebsites.net/api/Books/6,63,0,0
1605619661092,57,Add Users from CSV,200,OK,Stress Test 3-7,text,true,,305,294,4,7,https://webapp-api-appservice.azurewebsites.net/api/Users,57,0,0
1605619661098,59,Get Book of specific ID,200,OK,Stress Test 3-5,text,true,,741,213,4,7,https://webapp-api-appservice.azurewebsites.net/api/Books/5,59,0,0
1605619661105,57,Add Users from CSV,200,OK,Stress Test 3-10,text,true,,305,294,4,7,https://webapp-api-appservice.azurewebsites.net/api/Users,57,0,0
1605619661105,61,Get Books CSV,200,OK,Stress Test 3-4,text,true,,741,213,4,7,https://webapp-api-appservice.azurewebsites.net/api/Books/4,61,0,0
1605619660098,1069,Get Books,200,OK,Endruance Test 2-9,text,true,,97539,211,3,6,https://webapp-api-appservice.azurewebsites.net/api/Books,730,0,665
1605619661132,54,Add Users,200,OK,Endruance Test 2-1,text,true,,305,294,3,6,https://webapp-api-appservice.azurewebsites.net/api/Users,54,0,0
1605619661138,62,Get Book of specific ID,200,OK,Endruance Test 2-4,text,true,,741,213,2,5,https://webapp-api-appservice.azurewebsites.net/api/Books/4,62,0,0
